City_ID,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
31,ceres,BR,48,1572505888,88,-15.31,-49.6,68.14,4.12
32,bethel,US,1,1572505888,85,60.79,-161.76,28.4,13.87
33,hobart,AU,87,1572505854,49,-42.88,147.33,78.01,13.87
34,silao,MX,75,1572505889,87,20.94,-101.43,62.01,0.94
35,provideniya,RU,20,1572505889,74,64.42,-173.23,28.4,3.49
36,atuona,PF,65,1572505889,70,-9.8,-139.03,80.08,11.52
37,padang,ID,94,1572505889,96,-0.92,100.36,70.74,3.2
38,rimavska sobota,SK,0,1572505709,62,48.38,20.02,25.0,1.01
39,husavik,CA,84,1572505889,87,50.56,-96.99,21.99,9.22
40,port alfred,ZA,88,1572505890,94,-33.59,26.89,57.0,7.76
41,norman wells,CA,75,1572505890,92,65.28,-126.83,15.8,4.7
42,mahebourg,MU,40,1572505890,61,-20.41,57.7,79.0,9.17
43,souillac,FR,90,1572505890,93,45.6,-0.6,59.0,6.93
44,dowa,CN,100,1572505890,68,31.0,94.93,32.43,3.44
45,plettenberg bay,ZA,19,1572505890,74,-34.05,23.37,57.33,0.29
46,pierre,US,1,1572505890,72,44.37,-100.35,21.0,4.7
47,hofn,IS,49,1572505891,79,64.25,-15.21,46.06,22.5
48,kaitangata,NZ,100,1572505891,71,-46.28,169.85,48.99,11.01
49,baykit,RU,93,1572505891,87,61.68,96.39,15.06,1.66
50,tanete,ID,77,1572505891,36,-3.94,119.78,97.2,10.09
51,tasiilaq,GL,0,1572505891,68,65.61,-37.64,28.4,5.82
52,saraland,US,90,1572505891,100,30.82,-88.07,75.2,3.36
53,atar,MR,0,1572505891,25,20.52,-13.05,75.18,9.6
54,kurchum,KZ,80,1572505891,52,48.57,83.65,52.23,9.71
55,kavaratti,IN,100,1572505891,79,10.57,72.64,79.88,39.03
56,belaya gora,RU,0,1572505892,99,68.54,146.19,-5.3,0.54
57,nicoya,CR,98,1572505892,1,10.15,-85.45,72.0,1.36
58,hasaki,JP,75,1572505892,72,35.73,140.83,68.0,8.05
59,elko,US,1,1572505892,40,40.83,-115.76,24.01,3.36
60,san patricio,PY,75,1572505892,95,-26.98,-56.83,73.31,9.04
61,samarai,PG,62,1572505892,87,-10.62,150.67,77.88,8.25
62,riyadh,SA,66,1572505612,69,24.63,46.72,75.2,6.93
63,santa maria,BR,20,1572505892,73,-16.02,-48.01,69.8,4.7
64,umm kaddadah,SD,0,1572505893,20,13.6,26.69,77.7,17.56
65,moree,AU,100,1572505893,26,-29.46,149.84,84.2,10.29
66,norden,DE,0,1572505893,100,53.59,7.21,33.01,4.7
67,butaritari,KI,100,1572505893,70,3.07,172.79,84.76,9.57
68,puerto ayora,EC,29,1572505893,94,-0.74,-90.35,68.0,1.99
69,savelugu,GH,38,1572505893,89,9.63,-0.83,75.25,4.18
70,cahors,FR,100,1572505893,99,44.45,1.44,59.0,6.8
71,hermanus,ZA,0,1572505893,68,-34.42,19.24,64.0,13.0
72,araouane,ML,0,1572505894,30,18.9,-3.53,69.08,12.64
73,albany,US,90,1572505829,87,42.65,-73.75,60.8,9.17
74,necochea,AR,0,1572505894,97,-38.55,-58.74,45.0,1.01
75,nkhotakota,MW,3,1572505683,60,-12.93,34.3,80.11,11.99
76,vilhena,BR,57,1572505894,75,-12.74,-60.15,72.99,1.95
77,lompoc,US,1,1572505894,56,34.64,-120.46,54.0,4.7
78,tiksi,RU,38,1572505894,98,71.64,128.87,-3.56,1.07
79,abu dhabi,AE,0,1572505732,43,24.47,54.37,87.8,6.93
80,lebu,ET,45,1572505895,39,8.96,38.73,64.4,10.29
81,nikolskoye,RU,26,1572505895,80,59.7,30.79,30.99,11.18
82,yellowknife,CA,90,1572505634,92,62.45,-114.38,24.01,2.24
83,punta arenas,CL,100,1572505895,65,-53.16,-70.91,48.2,13.87
84,kapaa,US,40,1572505758,94,22.08,-159.32,75.2,6.93
85,upernavik,GL,100,1572505895,72,72.79,-56.15,21.2,5.73
86,harper,US,1,1572505895,80,30.3,-99.24,36.0,18.34
87,saint george,GR,90,1572505895,93,39.45,22.34,62.6,2.64
88,buzmeyin,TM,90,1572505896,72,38.05,58.21,59.0,9.17
89,cabo san lucas,MX,40,1572505719,78,22.89,-109.91,75.99,4.7
90,cidreira,BR,100,1572505896,94,-30.17,-50.22,70.47,1.14
91,jiujiang,CN,38,1572505896,21,29.73,115.99,76.41,4.72
92,new norfolk,AU,65,1572505896,49,-42.78,147.06,78.01,13.87
93,bereda,ES,95,1572505896,93,43.27,-7.54,64.0,1.12
94,thinadhoo,MV,100,1572505896,80,0.53,72.93,81.34,13.29
95,chikwawa,MW,0,1572505896,61,-16.03,34.79,78.8,5.82
96,makakilo city,US,1,1572505897,88,21.35,-158.09,78.8,3.36
97,luderitz,NA,0,1572505897,67,-26.65,15.16,59.0,3.36
98,celestun,MX,60,1572505897,79,20.87,-90.4,81.28,14.74
99,skjervoy,NO,20,1572505897,73,70.03,20.97,30.2,21.92
100,ponta delgada,PT,75,1572505746,94,37.73,-25.67,69.8,18.34
101,hithadhoo,MV,100,1572505840,79,-0.6,73.08,81.43,14.12
102,pevek,RU,100,1572505897,92,69.7,170.27,11.52,6.15
103,sabang,PH,100,1572505897,67,13.8,121.11,84.22,10.6
104,kawalu,ID,42,1572505898,45,-7.38,108.21,86.95,9.57
105,sorland,NO,40,1572505898,60,67.67,12.69,39.2,27.34
106,uige,AO,94,1572505898,93,-7.61,15.06,69.3,1.48
107,bluff,AU,14,1572505898,38,-23.58,149.07,82.56,26.35
108,aklavik,CA,75,1572505898,92,68.22,-135.01,30.2,5.82
109,ust-kuyga,RU,57,1572505898,100,70.0,135.55,-10.92,4.7
110,lasa,CY,20,1572505898,60,34.92,32.53,71.6,4.7
111,alyangula,AU,72,1572505899,62,-13.85,136.42,87.8,8.05
112,antofagasta,CL,90,1572505899,82,-23.65,-70.4,59.0,4.7
113,japura,ID,77,1572505899,69,-0.42,102.29,87.51,2.42
114,urengoy,RU,91,1572505899,92,65.96,78.37,11.08,11.77
115,ilulissat,GL,78,1572505899,62,69.22,-51.1,23.0,6.93
116,kijang,KR,0,1572505899,26,35.24,129.21,69.8,6.93
117,hilo,US,90,1572505899,83,19.71,-155.08,77.0,3.36
118,minas novas,BR,4,1572505900,89,-17.22,-42.59,65.7,2.21
119,ribeira grande,PT,95,1572505900,88,38.52,-28.7,67.23,21.9
120,champerico,MX,99,1572505900,93,16.38,-93.6,66.45,0.58
121,ranong,TH,75,1572505900,79,9.96,98.62,86.0,4.7
122,curumani,CO,100,1572505900,90,9.2,-73.54,68.77,3.78
123,clyde river,CA,90,1572505900,100,70.47,-68.59,26.6,8.05
124,poim,RU,100,1572505900,67,53.03,43.19,26.83,17.2
125,hovd,NO,75,1572505900,80,63.83,10.7,44.01,13.87
126,gangapur,IN,75,1572505901,65,19.7,75.01,82.4,4.7
127,flin flon,CA,100,1572505901,88,54.77,-101.88,21.24,6.98
128,codrington,AU,80,1572505901,33,-28.95,153.24,77.0,17.22
129,hohhot,CN,0,1572505901,24,40.81,111.65,57.2,2.24
130,warrington,GB,20,1572505901,100,53.39,-2.59,43.0,11.41
131,campbell river,CA,75,1572505901,86,50.02,-125.24,39.2,5.53
132,kisangani,CD,75,1572505901,94,0.52,25.21,73.4,4.7
133,ron,IN,89,1572505901,77,15.7,75.73,75.56,15.57
134,constantine,DZ,40,1572505902,93,36.36,6.61,48.2,1.57
135,porto-vecchio,FR,17,1572505742,88,41.59,9.28,62.6,5.82
136,avarua,CK,100,1572505903,94,-21.21,-159.78,75.2,16.11
137,barrow,AR,0,1572505903,58,-38.31,-60.23,44.04,7.2
138,ancud,CL,90,1572505903,87,-41.87,-73.83,44.6,5.82
139,magway,MM,83,1572505904,54,20.15,94.92,90.0,2.91
140,tuatapere,NZ,100,1572505904,84,-46.13,167.69,50.0,18.99
141,sao lourenco do sul,BR,100,1572505904,97,-31.37,-51.98,67.82,10.96
142,oranjemund,ZA,0,1572505905,36,-28.55,16.43,64.76,3.67
143,vila franca do campo,PT,75,1572505905,94,37.72,-25.43,69.8,18.34
144,dikson,RU,96,1572505905,87,73.51,80.55,1.13,3.51
145,dauphin,CA,40,1572505905,62,51.15,-100.04,21.2,6.93
146,los llanos de aridane,ES,0,1572505905,83,28.66,-17.92,71.6,9.17
147,bagdarin,RU,0,1572505906,48,54.44,113.59,18.05,4.27
148,tecoanapa,MX,40,1572505906,88,16.99,-99.26,80.6,4.7
149,itacarambi,BR,5,1572505906,61,-15.1,-44.09,69.31,1.88
150,labuan,BN,75,1572505643,74,5.28,115.24,86.0,3.36
151,dasoguz,TM,30,1572505906,59,41.84,59.97,60.8,6.93
152,dicabisagan,PH,61,1572505906,83,17.08,122.42,80.22,12.28
153,mar del plata,AR,100,1572505906,43,-46.43,-67.52,54.72,10.11
154,quatre cocos,MU,40,1572505906,61,-20.21,57.76,79.0,9.17
155,cape town,ZA,0,1572505651,59,-33.93,18.42,64.0,11.41
156,vao,EE,99,1572505907,95,59.1,26.19,34.65,8.19
157,magadan,RU,100,1572505907,80,59.56,150.8,35.29,21.61
158,bainbridge,US,90,1572505907,94,30.9,-84.58,77.0,8.05
159,san rafael del sur,NI,20,1572505907,94,11.85,-86.44,75.2,4.7
160,horta,BR,40,1572505907,83,-10.93,-37.66,77.0,9.17
161,itaituba,BR,100,1572505908,98,-4.26,-55.99,72.01,1.83
